Date,Close,Volume,달러(원),위안(원)
2023-11-21,1998.26,164705,1289.2,180.46
2023-11-22,1989.81,144702,1300.5,181.89
2023-11-23,1992.78,39966,1297.5,181.67
2023-11-24,2002.33,54053,1306.4,182.57
2023-11-27,2014.18,79287,1303.8,182.08
2023-11-28,2041.07,76325,1293.7,180.77
2023-11-29,2044.12,91534,1289.6,181.04
2023-11-30,2036.09,85621,1290.0,180.92
2023-12-01,2071.63,65040,1305.8,182.76
2023-12-04,2028.89,85241,1304.0,182.71
2023-12-05,2019.36,74914,1311.2,183.45
2023-12-06,2025.26,64498,1313.1,183.25
2023-12-07,2028.54,64039,1325.3,184.91
2023-12-08,2004.04,68116,1306.8,182.32
2023-12-11,1981.69,60603,1316.5,182.98
2023-12-12,1979.3,50962,1314.0,182.85
2023-12-13,2027.23,56900,1319.9,183.39
2023-12-14,2036.2,75085,1295.4,181.54
2023-12-15,2019.02,340007,1296.5,182.22
2023-12-18,2027.21,280002,1297.2,181.92
2023-12-19,2040.13,308394,1307.8,183.0
2023-12-20,2031.31,311016,1298.9,182.0
2023-12-21,2045.78,332142,1305.1,182.64
2023-12-22,2052.75,383955,1303.0,182.04
2023-12-26,2067.44,202590,1294.5,181.14
2023-12-27,2077.49,285928,1294.2,181.01
2023-12-28,2065.25,328829,1288.0,181.17
2023-12-29,2062.67,295714,0.0,0.0
2024-01-02,2058.91,376799,1300.4,182.37
2024-01-03,2041.27,441916,1304.8,182.6
2024-01-04,2043.28,324187,1310.0,182.96
2024-01-05,2045.3,479354,1315.4,183.3
2024-01-08,2028.18,386826,1316.0,183.58
2024-01-09,2030.21,376781,1315.7,183.52
2024-01-10,2024.32,399693,1320.1,183.89
2024-01-11,2028.54,538544,1312.9,183.17
2024-01-12,2048.81,562683,1313.5,183.18
2024-01-15,2054.6,248084,1320.2,183.72
2024-01-16,2028.22,459103,1331.8,185.02
2024-01-17,2006.11,557364,1344.2,186.16
2024-01-18,2022.93,430350,1339.7,185.83
2024-01-19,2029.33,410962,1339.0,185.62
2024-01-22,2021.62,423889,1338.9,185.73
2024-01-23,2029.23,436043,1333.4,185.98
2024-01-24,2013.5,543248,1337.0,186.49
2024-01-25,2020.7,443626,1335.8,186.45
2024-01-26,2018.49,353072,1336.3,185.97
2024-01-29,2032.7,288679,1335.7,185.71
2024-01-30,2036.87,412991,1329.4,185.03
2024-01-31,2039.2,567869,1334.6,185.57
2024-02-01,2054.98,592314,1331.8,185.23
2024-02-02,2039.57,383044,1322.6,183.94
2024-02-05,2025.03,398004,1330.8,184.55
2024-02-06,2035.86,191974,1327.6,184.27
2024-02-07,2035.0,142344,1327.8,184.41
2024-02-08,2034.33,151572,1328.2,184.21
2024-02-09,2024.26,138125,0.0,0.0
2024-02-12,2019.94,139488,0.0,0.0
2024-02-13,1992.95,153478,1328.1,184.06
2024-02-14,1992.1,145815,1335.4,184.73
2024-02-15,2004.25,138635,1334.0,184.61
2024-02-16,2013.18,134157,1335.4,184.99
